area_numbe,comarea_,shape_area,perimeter,community,comarea_id,shape_len,area_num_1,area,sq_miles
46,0.0000000000000000000000000000000,93272185.0092000067234039306640625000000,0.0000000000000000000000000000000,SOUTH CHICAGO,0.0000000000000000000000000000000,52435.9794313000020338222384452819824,46,0.0000000000000000000000000000000,3.345679
47,0.0000000000000000000000000000000,16995983.2736999988555908203125000000000,0.0000000000000000000000000000000,BURNSIDE,0.0000000000000000000000000000000,18137.9442529000007198192179203033447,47,0.0000000000000000000000000000000,0.609647
48,0.0000000000000000000000000000000,48826241.5643000006675720214843750000000,0.0000000000000000000000000000000,CALUMET HEIGHTS,0.0000000000000000000000000000000,32925.3658705999987432733178138732910,48,0.0000000000000000000000000000000,1.751400
49,0.0000000000000000000000000000000,134313706.7299999892711639404296875000000,0.0000000000000000000000000000000,ROSELAND,0.0000000000000000000000000000000,56632.7954291999994893558323383331299,49,0.0000000000000000000000000000000,4.817841
5,0.0000000000000000000000000000000,57054167.8500000014901161193847656250000,0.0000000000000000000000000000000,NORTH CENTER,0.0000000000000000000000000000000,31391.6697542000001703854650259017944,5,0.0000000000000000000000000000000,2.046537
50,0.0000000000000000000000000000000,59001555.6019999980926513671875000000000,0.0000000000000000000000000000000,PULLMAN,0.0000000000000000000000000000000,35572.0695076999982120469212532043457,50,0.0000000000000000000000000000000,2.116390
51,0.0000000000000000000000000000000,303797059.6600000262260437011718750000000,0.0000000000000000000000000000000,SOUTH DEERING,0.0000000000000000000000000000000,80389.8718001999950502067804336547852,51,0.0000000000000000000000000000000,10.897221
52,0.0000000000000000000000000000000,83241728.0493000000715255737304687500000,0.0000000000000000000000000000000,EAST SIDE,0.0000000000000000000000000000000,52274.1928493000013986602425575256348,52,0.0000000000000000000000000000000,2.985886
53,0.0000000000000000000000000000000,99365198.0822000056505203247070312500000,0.0000000000000000000000000000000,WEST PULLMAN,0.0000000000000000000000000000000,50023.8430007999995723366737365722656,53,0.0000000000000000000000000000000,3.564236
54,0.0000000000000000000000000000000,98389497.4142999947071075439453125000000,0.0000000000000000000000000000000,RIVERDALE,0.0000000000000000000000000000000,46455.4408571000021765939891338348389,54,0.0000000000000000000000000000000,3.529238
55,0.0000000000000000000000000000000,145965741.4370000064373016357421875000000,0.0000000000000000000000000000000,HEGEWISCH,0.0000000000000000000000000000000,73692.3821322000003419816493988037109,55,0.0000000000000000000000000000000,5.235801
56,0.0000000000000000000000000000000,117890778.4290000051259994506835937500000,0.0000000000000000000000000000000,GARFIELD RIDGE,0.0000000000000000000000000000000,60080.4479703999968478456139564514160,56,0.0000000000000000000000000000000,4.228750
57,0.0000000000000000000000000000000,55922505.7211999967694282531738281250000,0.0000000000000000000000000000000,ARCHER HEIGHTS,0.0000000000000000000000000000000,31880.0210294999997131526470184326172,57,0.0000000000000000000000000000000,2.005944
58,0.0000000000000000000000000000000,75892790.3113999962806701660156250000000,0.0000000000000000000000000000000,BRIGHTON PARK,0.0000000000000000000000000000000,36537.1343061000006855465471744537354,58,0.0000000000000000000000000000000,2.722279
59,0.0000000000000000000000000000000,39431799.6479000002145767211914062500000,0.0000000000000000000000000000000,MCKINLEY PARK,0.0000000000000000000000000000000,26014.0968371000017214100807905197144,59,0.0000000000000000000000000000000,1.414421
6,0.0000000000000000000000000000000,87214799.2727999985218048095703125000000,0.0000000000000000000000000000000,LAKE VIEW,0.0000000000000000000000000000000,51973.0968676999982562847435474395752,6,0.0000000000000000000000000000000,3.128401
60,0.0000000000000000000000000000000,58291519.2766999974846839904785156250000,0.0000000000000000000000000000000,BRIDGEPORT,0.0000000000000000000000000000000,32732.7183268000007956288754940032959,60,0.0000000000000000000000000000000,2.090921
61,0.0000000000000000000000000000000,134636963.2540000081062316894531250000000,0.0000000000000000000000000000000,NEW CITY,0.0000000000000000000000000000000,48133.5959609999990789219737052917480,61,0.0000000000000000000000000000000,4.829437
62,0.0000000000000000000000000000000,32711091.4259000010788440704345703125000,0.0000000000000000000000000000000,WEST ELSDON,0.0000000000000000000000000000000,26229.6956007000007957685738801956177,62,0.0000000000000000000000000000000,1.173349
